Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
40031,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Arielulus,aureocollaris,"(Kock & Storch, 1996)",,,,,Thainycteris aureocollaris,"Collared Sprite, Siam Goldnecklet, Collared Pipistrelle, Thai Golden-throated Bat",,,LC,,3.1,2008,unknown,N
41534,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Arielulus,circumdatus,"(Temminck, 1840)",,,,,Pipistrellus circumdatus|Vespertilio circumdatus,"Bronze Sprite, Black Gilded Pipistrelle, Black-gilded Pipistrelle",,,LC,,3.1,2008,unknown,N
40775,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Arielulus,cuprosus,"(Hill & Francis, 1984)",,,,,Pipistrellus cuprosus  ,"Coppery Sprite, Coppery Pipistrelle",,,VU,B2ab(iii),3.1,2016,unknown,N
40776,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Arielulus,societatis,"(Hill, 1972)",,,,,Pipistrellus societatis  ,"Social Sprite, Social Pipistrelle",,,VU,B1ab(iii),3.1,2008,decreasing,N
40032,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Arielulus,torquatus,"Csorba & Lee, 1999",,,,,"","Necklace Sprite, Necklace Pipistrelle",,,LC,,3.1,2008,stable,N
2110,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ariteus,flavescens,"(Gray, 1831)",,,,,"",Jamaican Fig-eating Bat,,,LC,,3.1,2008,unknown,N
2121,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,amplus,"Handley, 1987",,,,,"",Large Fruit-eating Bat,,,LC,,3.1,2008,unknown,N
2125,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,concolor,"Peters, 1865",,,,,"",Brown Fruit-eating Bat,,,LC,,3.1,2016,stable,N
2126,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,fimbriatus,"Gray, 1838",,,,,"",Fringed Fruit-eating Bat,,,LC,,3.1,2015,stable,N
2127,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,fraterculus,"Anthony, 1924",,,,,"",Fraternal Fruit-eating Bat,,,LC,,3.1,2015,decreasing,N
2131,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,hirsutus,"K. Andersen, 1906",,,,,"",Hairy Fruit-eating Bat,,,LC,,3.1,2015,stable,N
2132,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,inopinatus,"Davis & Carter, 1964",,,,,"",Honduran Fruit-eating Bat,,,DD,,3.1,2016,unknown,N
88109731,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,jamaicensis,"Leach, 1821",,,,,"",Jamaican Fruit-eating Bat,,,LC,,3.1,2016,stable,N
2136,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,lituratus,"(Olfers, 1818)",,,,,Artibeus intermedius  ,Great Fruit-eating Bat,,,LC,,3.1,2015,stable,N
2137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,obscurus,"Schinz, 1821",,,,,"",Dark Fruit-eating Bat,,,LC,,3.1,2016,unknown,N
2139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,planirostris,"(Spix, 1823)",,,,,"",Flat-faced Fruit-eating Bat,,,LC,,3.1,2015,stable,N
88109897,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,schwartzi,"Jones, 1978",,,,,"",,,,DD,,3.1,2016,unknown,N
2153,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Asellia,patrizii,"De Beaux, 1931",,,,,"",Patrizi's Trident Leaf-nosed Bat,,,LC,,3.1,2008,unknown,N
2154,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Asellia,tridens,"(É. Geoffroy, 1813)",,,,,"","Geoffroy's Trident Leaf-nosed Bat, Trident Bat, Trident Leaf-nosed Bat",,,LC,,3.1,2008,stable,N
2155,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,stoliczkanus,"(Dobson, 1871)",,,,,"","Stoliczka's Asian Trident Bat, Stoliczka's Trident Bat",,,LC,,3.1,2008,unknown,N
2156,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,tricuspidatus,"(Temminck, 1835)",,,,,"","Trident Leaf-nosed Bat, Temminck's Trident Bat, Temminck's Asian Trident Bat",,,LC,,3.1,2008,stable,N
21313,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Austronomus,australis,"Gray, 1838",,,,,Tadarida australis,White-striped Free-tailed Bat,,,LC,,3.1,2008,decreasing,N
136201,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Austronomus,kuboriensis,"(McKean & Calaby, 1968)",,,,,Tadarida kuboriensis,New Guinea Free-tailed Bat,,,LC,,3.1,2008,stable,N
2531,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,infusca,"(Thomas, 1897)",,,,,"",Ecuadorian Sac-winged Bat,,,VU,"B1ab(iii,v)",3.1,2015,decreasing,N
2532,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,io,"Thomas, 1904",,,,,"",Thomas's Sac-winged Bat,,,VU,A2c,3.1,2015,decreasing,N
2533,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,plicata,"Peters, 1867",,,,,"",Gray Sac-winged Bat,,,LC,,3.1,2016,unknown,N
2538,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Balionycteris,maculata,"(Thomas, 1893)",,,,,"",Spotted-winged Fruit Bat,,,LC,,3.1,2008,unknown,N
2553,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Barbastella,barbastellus,"(Schreber, 1774)",,,,,"","Western Barbastelle, Barbastelle","Barbastelle Commune, Barbastelle D'Europe",Barbastela,NT,,3.1,2016,decreasing,N
2554,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Barbastella,leucomelas,"(Cretzschmar, 1826)",,,,,Barbastella blandfordi|Barbastella caspica|Barbastella walteri|Plecotus darjelingensis|Vespertilio leucomelas,"Eastern Barbastelle, Asian Barbastelle",,,LC,,3.1,2008,unknown,N
1789,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Bauerus,dubiaquercus,"(Van Gelder, 1959)",,,,,Antrozous dubiaquercus  ,Van Gelder's Bat,,,NT,,3.1,2008,unknown,N
2982,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Brachyphylla,cavernarum,"Gray, 1834",,,,,"",Antillean Fruit-eating Bat,,,LC,,3.1,2008,unknown,N
2983,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Brachyphylla,nana,"Miller, 1902",,,,,"",Cuban Fruit-eating Bat,,,LC,,3.1,2008,stable,N
3859,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Cardioderma,cor,"(Peters, 1872)",,,,,"","Heart-nosed Bat, African False Vampire Bat",,,LC,,3.1,2008,unknown,N
3903,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,brevicauda,"(Schinz, 1821)",,,,,Carollia colombiana,Silky Short-tailed Bat,,,LC,,3.1,2016,stable,N
88110411,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,castanea,"H. Allen, 1890",,,,,"",Chestnut Short-tailed Bat,,,LC,,3.1,2016,stable,N
136782,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,manu,"Pacheco, Solari & Velazco, 2004",,,,,"",Manu Short-tailed Bat,,,LC,,3.1,2015,stable,N
3905,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,perspicillata,"(Linnaeus, 1758)",,,,,"",Seba's Short-tailed Bat,,,LC,,3.1,2015,stable,N
136268,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,sowelli,"Baker, Solari & Hoffmann, 2002",,,,,"",Sowell's Short-tailed Bat,,,LC,,3.1,2015,stable,N
3906,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,subrufa,"(Hahn, 1905)",,,,,"","Gray Short-tailed Bat, Grey Short-tailed Bat",,,LC,,3.1,2015,stable,N
3999,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Casinycteris,argynnis,"Thomas, 1910",,,,,"","Short-palated Fruit Bat, Golden Short-palated Fruit Bat",,,LC,,3.1,2016,unknown,N
136350,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Centronycteris,centralis,"Thomas, 1912",,,,,"",Thomas's Shaggy Bat,,,LC,,3.1,2015,unknown,N
4112,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Centronycteris,maximiliani,"(Fischer, 1829)",,,,,"","Shaggy Bat, Common Shaggy Bat",,,LC,,3.1,2016,unknown,N
4133,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Centurio,senex,"Gray, 1842",,,,,"","Wrinkle-faced Bat, Lattice-winged Bat",,,LC,,3.1,2016,stable,N
4305,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,aloysiisabaudiae,"(Festa, 1907)",,,,,Chaerephon cyclotis|Nyctinomus aloysii-sabaudiæ|Tadarida aloysiisabaudiae,"Duke of Abruzzi's Wrinkle-lipped Bat, Abruzzi's Wrinkle-lipped Bat, Duke of Abruzzi's Free-tailed Bat","Molosse du Duc des Abruzzes, Tadaride du Duc des Abruzzes",,LC,,3.1,2008,decreasing,N
4306,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,ansorgei,"(Thomas, 1913)",,,,,Chaerephon rhodesiae|Nyctinomus ansorgei|Tadarida ansorgei,"Ansorge's Wrinkle-lipped Bat, Ansorge's Free-tailed Bat","Molosse d'Afrique du Sud, Molosse d'Ansorge, Tadaride d'Ansorge",,LC,,3.1,2008,stable,N
4307,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,bemmeleni,"(Jentink, 1879)",,,,,Nyctinomus bemmeleni|Tadarida bemmeleni,"Gland-tailed Wrinkle-lipped Bat, Van Bemmelen's Wrinkle-lipped Bat, Gland-tailed Free-tailed Bat","Molosse à glandes caudales, Tadaride à glande caudale",,LC,,3.1,2008,unknown,N
4308,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,bivittatus,"(Heuglin, 1861)",,,,,Chaerephon bivittata|Nyctinomus bivittatus|Tadarida bivittata,"Spotted Wrinkle-lipped Bat, Spotted Free-tailed Bat, Spotted Gland-tailed Bat","Molosse tacheté, Tadaride tachetée",,LC,,3.1,2008,stable,N
4309,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,bregullae,"(Felten, 1964)",,,,,Tadarida bregullae,"Fijian Free-tailed Bat, Fijian Mastiff Bat",,,EN,B1ab(iii),3.1,2014,decreasing,N
4310,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,chapini,"J.A. Allen, 1917",,,,,Chaerephon lancasteri|Chaerephon shortridgei|Tadarida chapini|Tadarida shortridgei,"Long-crested Free-tailed Bat, Long-crested Gland-tailed Bat, Crested Free-tail Bat, Crested Wrinkle-lipped Bat, Chapin's Free-tailed Bat, Chapin's Wrinkle-lipped Bat, Long-crested Wrinkle-lipped Bat, Pale Free-tailed Bat","Molosse à crinière, Molosse pâle, Tadaride de Chapin",,LC,,3.1,2014,unknown,N
4311,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,gallagheri,"(Harrison, 1975)",,,,,Tadarida gallagheri,"Gallagher's Wrinkle-lipped Bat, Zaïre Gland-tailed Bat, Gallagher's Free-tailed Bat","Molosse du Zaïre, Tadaride de Gallagher",,DD,,3.1,2008,unknown,N
4312,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,jobensis,"(Miller, 1902)",,,,,Tadarida jobensis,"Greater Northern Free-tailed Bat, Wrinkle-lipped Mastiff Bat",,,LC,,3.1,2008,stable,N
136393,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,jobimena,"Goodman & Cardiff, 2004",,,,,Tadarida jobimena,Black And Red Free-tailed Bat,Tadaride rouge ou noir,,LC,,3.1,2014,unknown,N
4313,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,johorensis,"(Dobson, 1873)",,,,,Tadarida johorensis,Northern Free-tailed Bat,,,VU,A4c,3.1,2014,decreasing,N
4314,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,major,"(Trouessart, 1897)",,,,,Nyctinomus pumilus variety major|Tadarida major,"Large Wrinkle-lipped Bat, Giant Gland-tailed Bat, Lappet-eared Wrinkle-lipped Bat, Lappet-eared Free-tailed Bat","Grand molosse à glandes caudales, Tadaride à oreillettes",,LC,,3.1,2008,stable,N
4315,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,nigeriae,"Thomas, 1913",,,,,Tadarida nigeriae|Tadarida nigeriae subspecies spillmani,"Nigerian Free-tailed Bat, Nigerian Wrinkle-lipped Bat","Molosse du Nigéria, Tadaride du Nigeria",,LC,,3.1,2014,unknown,N
4316,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,plicatus,"(Buchanan, 1800)",,,,,Chaerephon luzonus  |Chaerephon plicata|Dysopes murinus|Nyctinomus bengalensis|Tadarida plicata|Tadarida plicata subspecies insularis|Vespertilio plicatus,"Wrinkle-lipped Free-tailed Bat, Wrinkle-lipped Bat",,,LC,,3.1,2014,unknown,N
4317,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,pumilus,"(Cretzschmar, 1826)",,,,,Chaerephon leucogaster|Chaerephon pumila|Chaerephon pusillus|Tadarida leucogaster|Tadarida pumila|Tadarida pusilla,"Little Free-tailed Bat, Little Wrinkle-lipped Bat, Lesser Free-tailed Bat, White-bellied Free-tailed Bat",,,LC,,3.1,2014,unknown,N
4319,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,russatus,"J.A. Allen, 1917",,,,,Chaerephon russata|Tadarida russata,"Russet Wrinkle-lipped Bat, Russet Free-tailed Bat",Tadaride rousse,,DD,,3.1,2008,unknown,N
4320,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,solomonis,"(Troughton, 1931)",,,,,Tadarida solomonis,"Solomons Free-tailed Bat, Solomons Mastiff Bat",,,LC,,3.1,2014,unknown,N
4321,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,tomensis,"(Juste & Ibáñez, 1993)",,,,,Tadarida tomensis,São Tomé Free-tailed Bat,Tadaride de São Tomé,,EN,B1ab(iii),3.1,2008,decreasing,N
4414,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,dwyeri,"Ryan, 1966",,,,,"",Large-eared Pied Bat,,,NT,,3.1,2008,decreasing,N
4417,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,gouldii,"(Gray, 1841)",,,,,"",Gould's Wattled Bat,,,LC,,3.1,2008,stable,N
4419,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,morio,"(Gray, 1841)",,,,,"",Chocolate Wattled Bat,,,LC,,3.1,2008,stable,N
4420,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,neocaledonicus,"Revilliod, 1914",,,,,"",New Caledonia Wattled Bat,Chalinolobe Néo-calédonien,,EN,B2ab(iii),3.1,2008,decreasing,N
4421,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,nigrogriseus,"(Gould, 1856)",,,,,"",Hoary Wattled Bat,,,LC,,3.1,2008,stable,N
4422,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,picatus,"(Gould, 1852)",,,,,"",Little Pied Bat,,,NT,,3.1,2008,decreasing,N
4425,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Chalinolobus,tuberculatus,"(Forster, 1844)",,,,,"","New Zealand Long-tailed Bat, Long-tailed Wattled Bat",,,VU,A2ace,3.1,2008,decreasing,N
4600,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Cheiromeles,parvidens,"Miller & Hollister, 1921",,,,,"",Lesser Naked Bat,,,LC,,3.1,2008,unknown,N
4601,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Cheiromeles,torquatus,"Horsfield, 1824",,,,,"","Greater Naked Bat, Hairless Bat",,,LC,,3.1,2008,unknown,N
14359,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,NATALIDAE,Chilonatalus,micropus,"(Dobson, 1880)",,,,,Natalus micropus  ,"Cuban Lesser Funnel-eared Bat, Cuban Funnel-eared Bat",,,NT,,3.1,2008,decreasing,N
14361,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,NATALIDAE,Chilonatalus,tumidifrons,"Miller, 1903",,,,,Natalus tumidifrons  ,"Bahamian Lesser Funnel-eared Bat, Bahaman Funnel-eared Bat",,,NT,,3.1,2008,decreasing,N
4664,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chiroderma,doriae,"Thomas, 1891",,,,,"",Brazilian Big-eyed Bat,,,LC,,3.1,2015,unknown,N
4665,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chiroderma,improvisum,"Baker & Genoways, 1976",,,,,"","Guadeloupean Big-eyed Bat, Guadeloupe Big-eyed Bat",,,EN,"B1ab(i,ii,iii)",3.1,2016,unknown,N
4666,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chiroderma,salvini,"Dobson, 1878",,,,,"",Salvin's Big-eyed Bat,,,LC,,3.1,2015,stable,N
4667,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chiroderma,trinitatum,"Goodwin, 1958",,,,,"",Little Big-eyed Bat,,,LC,,3.1,2016,unknown,N
4668,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chiroderma,villosum,"Peters, 1860",,,,,"",Hairy Big-eyed Bat,,,LC,,3.1,2015,stable,N
4670,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Chironax,melanocephalus,"(Temminck, 1825)",,,,,"",Black-capped Fruit Bat,,,LC,,3.1,2008,unknown,N
4772,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Choeroniscus,godmani,"(Thomas, 1903)",,,,,"",Godman's Long-tailed Bat,,,LC,,3.1,2015,unknown,N
4774,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Choeroniscus,minor,"(Peters, 1868)",,,,,Choeroniscus intermedius  ,Lesser Long-tailed Bat,,,LC,,3.1,2016,unknown,N
4775,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Choeroniscus,periosus,"Handley, 1966",,,,,"",Greater Long-tailed Bat,,,VU,A3c,3.1,2015,unknown,N
4776,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Choeronycteris,mexicana,"Tschudi, 1844",,,,,"","Mexican Long-tongued Bat, Mexican Long-nosed Bat, Hog-nosed Bat",,,NT,,3.1,2008,unknown,N
4811,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Chrotopterus,auritus,"(Peters, 1856)",,,,,"","Woolly False Vampire Bat, Peter's Woolly False Vampire Bat, Big-eared Wooly Bat",,,LC,,3.1,2015,stable,N
44787,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,CISTUGIDAE,Cistugo,lesueuri,"Roberts, 1919",,,,,Myotis lesueuri  ,"Lesueur's Hairy Bat, Lesueur's Myotis, Lesueur's Wing-gland Bat, Wing-gland bat",,,LC,,3.1,2008,decreasing,N
44788,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,CISTUGIDAE,Cistugo,seabrae,"Thomas, 1912",,,,,Cistugo seabrai  |Myotis seabrai  ,"Angolan Hairy Bat, Angolan Wing-gland Bat, Angolan Winggland Bat, Seabra's Wing-gland Bat, Seabra's Wing-gland Bat",,,LC,,3.1,2008,unknown,N
